src_path,folder,eb_label,label_name,reason
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2588.jpeg,confused,4,confusion,blurry (31.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2591.jpeg,confused,4,confusion,blurry (6.4)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2592.jpeg,confused,4,confusion,blurry (5.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2593.jpeg,confused,4,confusion,blurry (5.9)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2594.jpeg,confused,4,confusion,blurry (4.8)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2595.jpeg,confused,4,confusion,blurry (8.0)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2596.jpeg,confused,4,confusion,blurry (16.3)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2597.jpeg,confused,4,confusion,blurry (6.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2598.jpeg,confused,4,confusion,blurry (67.9)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2599.jpeg,confused,4,confusion,blurry (70.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2600.jpeg,confused,4,confusion,blurry (12.9)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2987.jpeg,confused,4,confusion,blurry (18.6)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2988.jpeg,confused,4,confusion,blurry (16.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2989.jpeg,confused,4,confusion,blurry (11.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2990.jpeg,confused,4,confusion,blurry (23.0)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2991.jpeg,confused,4,confusion,blurry (20.3)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2992.jpeg,confused,4,confusion,blurry (16.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/confused/IMG_2993.jpeg,confused,4,confusion,blurry (16.4)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/happy/IMG_2641 Background Removed.png,happy,1,trust_relief,blurry (75.9)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/happy/IMG_2641.jpeg,happy,1,trust_relief,blurry (12.2)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/neutral/IMG_2586.jpeg,neutral,0,neutral,blurry (34.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/neutral/IMG_2587.jpeg,neutral,0,neutral,blurry (54.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2523.jpeg,sad,2,sadness,blurry (79.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2545.JPG,sad,2,sadness,blurry (79.4)
